epoch,train_loss,val_loss,val_acc
1,0.8610,0.7654,73.09
2,0.5173,0.5956,79.21
3,0.4172,0.6012,78.96
4,0.3175,0.6192,79.26
5,0.2403,0.7140,76.57
6,0.1763,0.6434,81.70
7,0.1710,1.0168,74.56
8,0.0926,0.6721,82.49
9,0.1054,0.6687,83.56
10,0.0634,0.9819,78.62
11,0.0668,0.7391,82.58
12,0.0690,0.8420,80.92
13,0.0492,0.8284,81.60
14,0.0385,0.7570,81.90
15,0.0262,0.7774,83.22
16,0.0214,0.8710,80.43
17,0.0384,0.8028,82.53
18,0.0696,0.9914,79.99
19,0.0589,0.7977,81.85
20,0.0670,0.8125,80.58
21,0.0394,1.1703,76.52
22,0.0281,0.8645,81.85
23,0.0606,0.8120,81.80
24,0.0206,0.8231,82.05
25,0.0196,0.8148,82.78
