epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5
1,0.7558,0.5389,81.46,0.8881,0.8699,0.9855,0.8506,0.8673,0.8698,0.8852
2,0.5139,0.4819,82.93,0.9216,0.9170,0.9923,0.8884,0.8872,0.9232,0.9212
3,0.4279,0.4387,83.81,0.9231,0.9101,0.9855,0.8887,0.8933,0.9390,0.9220
4,0.3584,0.4142,85.18,0.9298,0.9273,0.9944,0.9005,0.8825,0.9439,0.9300
5,0.2859,0.4584,84.78,0.9227,0.8984,0.9853,0.9045,0.8983,0.9326,0.9169
6,0.2403,0.5873,81.70,0.9203,0.9076,0.9891,0.8923,0.8906,0.9349,0.9072
7,0.1594,0.5691,82.34,0.9073,0.8806,0.9824,0.8806,0.8682,0.9355,0.8966
8,0.1272,0.5322,84.93,0.9154,0.9084,0.9930,0.8770,0.8699,0.9392,0.9050
9,0.0965,0.5795,83.37,0.9123,0.9056,0.9921,0.8726,0.8486,0.9413,0.9136
10,0.0904,0.5986,83.32,0.9125,0.9127,0.9885,0.8628,0.8657,0.9343,0.9113
11,0.0654,0.6188,84.00,0.9109,0.8967,0.9891,0.8741,0.8822,0.9194,0.9040
12,0.0670,0.5699,85.32,0.9254,0.9110,0.9941,0.8871,0.8944,0.9534,0.9124
13,0.0642,0.6177,84.64,0.9171,0.9019,0.9899,0.8693,0.8775,0.9482,0.9158
14,0.0501,0.6290,84.10,0.9188,0.9201,0.9911,0.8718,0.8641,0.9391,0.9263
15,0.0442,0.6464,84.10,0.9109,0.8929,0.9882,0.8691,0.8684,0.9398,0.9067
16,0.0559,0.6900,83.17,0.9089,0.9011,0.9899,0.8727,0.8543,0.9352,0.9006
17,0.0500,0.7080,83.12,0.9023,0.8975,0.9873,0.8377,0.8576,0.9143,0.9193
18,0.0374,0.7712,82.58,0.9014,0.8865,0.9889,0.8627,0.8400,0.9388,0.8913
19,0.0360,0.8416,80.48,0.8806,0.8615,0.9823,0.8159,0.8316,0.9163,0.8761
20,0.0523,0.7334,82.97,0.9060,0.8850,0.9881,0.8611,0.8670,0.9335,0.9010
21,0.0272,0.6720,84.83,0.9131,0.9052,0.9904,0.8657,0.8670,0.9409,0.9096
22,0.0362,0.7068,84.20,0.9059,0.8957,0.9851,0.8520,0.8522,0.9403,0.9101
23,0.0384,0.7239,83.56,0.9080,0.8942,0.9850,0.8648,0.8593,0.9390,0.9056
24,0.0411,0.7142,84.39,0.9075,0.8934,0.9886,0.8564,0.8493,0.9519,0.9052
25,0.0344,0.6631,84.83,0.9168,0.9116,0.9896,0.8613,0.8690,0.9452,0.9241
26,0.0311,0.5939,85.37,0.9255,0.9248,0.9901,0.8706,0.8899,0.9456,0.9321
27,0.0290,0.7441,84.98,0.9179,0.9161,0.9894,0.8717,0.8824,0.9435,0.9040
28,0.0312,0.8088,82.24,0.8954,0.8968,0.9891,0.8287,0.8486,0.8945,0.9149
29,0.0313,0.6893,85.47,0.9175,0.9116,0.9908,0.8674,0.8690,0.9447,0.9213
30,0.0251,0.7745,84.15,0.9039,0.9052,0.9878,0.8523,0.8443,0.9306,0.9030
31,0.0255,0.9225,80.23,0.8782,0.8771,0.9870,0.8103,0.8207,0.8818,0.8923
32,0.0331,0.7070,84.83,0.9108,0.9049,0.9910,0.8506,0.8603,0.9393,0.9185
33,0.0187,0.7558,83.56,0.9045,0.8952,0.9894,0.8537,0.8635,0.9235,0.9017
34,0.0186,0.6750,86.15,0.9250,0.9163,0.9878,0.8757,0.8989,0.9453,0.9259
35,0.0296,0.8000,83.27,0.9055,0.8864,0.9873,0.8599,0.8611,0.9327,0.9053
36,0.0357,0.7976,84.10,0.9091,0.9177,0.9840,0.8533,0.8506,0.9357,0.9132
37,0.0255,0.8123,84.05,0.9112,0.9147,0.9881,0.8591,0.8747,0.9364,0.8943
38,0.0249,0.7676,84.44,0.9091,0.9014,0.9887,0.8429,0.8754,0.9297,0.9163
39,0.0230,0.7629,84.59,0.9107,0.9119,0.9903,0.8437,0.8575,0.9434,0.9173
40,0.0117,0.7426,84.25,0.9088,0.9020,0.9911,0.8392,0.8672,0.9417,0.9114
41,0.0132,0.7612,85.08,0.9131,0.9178,0.9868,0.8506,0.8674,0.9463,0.9099
42,0.0313,0.8417,82.05,0.8932,0.9005,0.9920,0.8235,0.8340,0.9045,0.9048
43,0.0311,0.8978,82.73,0.9015,0.8901,0.9861,0.8477,0.8490,0.9345,0.9018
44,0.0204,0.8406,84.39,0.9060,0.9000,0.9912,0.8543,0.8384,0.9409,0.9109
45,0.0101,0.8695,83.37,0.8961,0.8691,0.9930,0.8447,0.8319,0.9260,0.9118
46,0.0212,0.8093,83.56,0.9040,0.8943,0.9881,0.8506,0.8571,0.9251,0.9087
47,0.0263,0.8208,83.32,0.9012,0.8918,0.9882,0.8530,0.8426,0.9259,0.9058
48,0.0232,0.8523,82.49,0.8984,0.8775,0.9897,0.8532,0.8489,0.9146,0.9068
49,0.0141,0.7826,85.23,0.9092,0.8963,0.9925,0.8511,0.8663,0.9389,0.9099
50,0.0108,0.8686,83.81,0.9078,0.9057,0.9878,0.8523,0.8798,0.9176,0.9037
