epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9258,0.9249,62.23,0.7884,0.8372,0.9151,0.7624,0.7781,0.7852,0.6521,0.6994,0.2249,0.3352,0.8132,0.8024,0.8497
2,0.6528,0.5523,79.16,0.8782,0.8784,0.9803,0.8173,0.8348,0.8679,0.8907,0.8228,0.8906,0.6592,0.8379,0.7725,0.7746
3,0.5657,0.6332,77.40,0.8738,0.8896,0.9800,0.8015,0.8083,0.8897,0.8734,0.8639,0.8754,0.8451,0.6209,0.7575,0.6994
4,0.5030,0.4517,84.78,0.9145,0.9103,0.9841,0.8853,0.8656,0.9308,0.9108,0.8070,0.9331,0.7915,0.7857,0.9042,0.8728
5,0.4641,0.4304,85.23,0.9170,0.9237,0.9847,0.8665,0.8518,0.9414,0.9338,0.7880,0.9605,0.7775,0.8819,0.8174,0.8873
6,0.4276,0.4756,82.44,0.9091,0.9030,0.9852,0.8825,0.8477,0.9258,0.9103,0.7722,0.9058,0.8648,0.6621,0.9102,0.8410
7,0.3918,0.4764,84.15,0.9190,0.9070,0.9786,0.8926,0.8829,0.9354,0.9176,0.7722,0.9909,0.8282,0.8379,0.8772,0.7457
8,0.3678,0.4095,85.76,0.9305,0.9391,0.9924,0.8806,0.8869,0.9570,0.9267,0.7785,0.9939,0.8676,0.7912,0.8892,0.8295
9,0.3447,0.3739,87.62,0.9371,0.9485,0.9912,0.9003,0.8863,0.9497,0.9468,0.8386,0.9696,0.8620,0.7720,0.9042,0.9191
10,0.3240,0.4648,84.00,0.9223,0.9191,0.9864,0.8656,0.8825,0.9514,0.9288,0.7975,0.9635,0.7746,0.9176,0.7305,0.8526
11,0.2930,0.4789,83.81,0.9230,0.9284,0.9510,0.9000,0.8760,0.9554,0.9274,0.8734,0.8267,0.8732,0.6703,0.9371,0.8613
12,0.2832,0.4298,85.42,0.9336,0.9306,0.9891,0.8936,0.8950,0.9463,0.9470,0.8101,0.9058,0.9014,0.7198,0.8563,0.9364
13,0.2329,0.5287,81.90,0.9169,0.9285,0.9896,0.8701,0.8632,0.9299,0.9203,0.9146,0.9362,0.8000,0.6511,0.8772,0.7601
14,0.2150,0.3751,87.13,0.9421,0.9457,0.9906,0.8996,0.8968,0.9666,0.9531,0.8639,0.9696,0.7211,0.9011,0.9012,0.8786
15,0.1894,0.4394,86.94,0.9311,0.9397,0.9854,0.8941,0.8838,0.9498,0.9340,0.7880,0.9757,0.8197,0.8846,0.8563,0.8902
16,0.1615,0.4191,86.35,0.9378,0.9314,0.9871,0.9009,0.8947,0.9653,0.9477,0.8449,0.9666,0.7803,0.7500,0.9371,0.9162
