epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.7715,0.5582,80.23,0.8812,0.8914,0.9851,0.8128,0.8358,0.8487,0.9134,0.8639,0.9483,0.7944,0.8104,0.7126,0.6936
2,0.5143,0.5214,82.05,0.9085,0.9002,0.9848,0.8791,0.8537,0.9123,0.9207,0.7215,0.9179,0.6085,0.8297,0.9102,0.9393
3,0.4400,0.7103,75.73,0.8858,0.8983,0.9793,0.8464,0.8176,0.8706,0.9024,0.6234,0.8815,0.8761,0.3379,0.9222,0.9220
4,0.3634,0.4924,81.70,0.9192,0.9047,0.9875,0.8864,0.8891,0.9419,0.9059,0.9114,0.8784,0.8169,0.8049,0.8982,0.6069
5,0.2967,0.6882,77.10,0.9042,0.9157,0.9892,0.8778,0.8454,0.8876,0.9098,0.7532,0.9939,0.9408,0.5137,0.7455,0.6965
6,0.2176,0.4648,84.59,0.9232,0.9209,0.9853,0.8777,0.8799,0.9459,0.9291,0.7848,0.9818,0.6986,0.8984,0.8952,0.8208
7,0.1681,0.6440,80.09,0.8997,0.8805,0.9635,0.8643,0.8680,0.9373,0.8844,0.9209,0.8146,0.7775,0.6896,0.8892,0.7341
8,0.1155,0.6300,80.92,0.8932,0.8884,0.9846,0.8152,0.8487,0.9140,0.9084,0.7310,0.9848,0.6986,0.8819,0.7814,0.7775
9,0.1028,0.6001,83.76,0.9153,0.9109,0.9920,0.8797,0.8457,0.9378,0.9256,0.7437,0.9818,0.8761,0.7335,0.7964,0.8960
10,0.0696,0.7736,79.99,0.8873,0.8915,0.9837,0.8371,0.8077,0.8875,0.9164,0.7753,0.9271,0.6141,0.6731,0.9281,0.9017
11,0.0697,0.8321,78.62,0.8778,0.8953,0.9801,0.8106,0.8205,0.9180,0.8425,0.9209,0.9514,0.7042,0.6154,0.9042,0.6561
12,0.0682,0.5907,83.86,0.9101,0.9102,0.9886,0.8500,0.8564,0.9271,0.9281,0.8291,0.9818,0.7155,0.8049,0.8563,0.8555
13,0.0603,0.6885,82.29,0.9039,0.8934,0.9850,0.8626,0.8399,0.9346,0.9079,0.7911,0.9666,0.8958,0.6319,0.8174,0.8468
14,0.0579,0.6306,84.44,0.9091,0.9105,0.9918,0.8380,0.8433,0.9342,0.9371,0.7816,0.9757,0.8056,0.7637,0.8293,0.9162
15,0.0545,0.6890,83.81,0.9064,0.9093,0.9816,0.8391,0.8438,0.9378,0.9269,0.7911,0.9635,0.7549,0.8462,0.8263,0.8497
16,0.0459,0.6965,84.54,0.9036,0.9122,0.9914,0.8342,0.8263,0.9318,0.9256,0.7753,0.9939,0.8085,0.7637,0.8563,0.8815
17,0.0264,0.6907,83.76,0.9089,0.9141,0.9846,0.8402,0.8452,0.9396,0.9297,0.8228,0.9453,0.8000,0.7308,0.8683,0.8699
18,0.0442,0.7356,83.51,0.9037,0.9051,0.9819,0.8205,0.8484,0.9267,0.9397,0.7595,0.9331,0.7493,0.7582,0.8862,0.9306
19,0.0412,0.6779,84.49,0.9115,0.9122,0.9890,0.8429,0.8523,0.9451,0.9275,0.7880,0.9757,0.8113,0.8242,0.8623,0.8121
20,0.0393,0.7034,84.88,0.9131,0.9288,0.9900,0.8367,0.8474,0.9418,0.9338,0.8196,0.9666,0.8028,0.8379,0.7994,0.8699
21,0.0386,0.8253,81.41,0.8931,0.8933,0.9900,0.8556,0.8393,0.8961,0.8844,0.7975,0.9757,0.8704,0.7143,0.6856,0.8468
22,0.0466,0.7283,82.68,0.9012,0.9105,0.9899,0.8195,0.8312,0.9250,0.9311,0.7215,0.9757,0.7268,0.7692,0.8623,0.9104
23,0.0313,0.7426,83.86,0.9128,0.9097,0.9907,0.8710,0.8377,0.9365,0.9313,0.8006,0.9696,0.8704,0.7500,0.7844,0.8613
