epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.6942,1.2600,48.78,0.5610,0.4230,0.8637,0.5529,0.6111,0.3181,0.5971,0.3797,0.3799,0.8761,0.4258,0.0269,0.8006
2,1.0310,0.9274,63.89,0.6957,0.7079,0.9401,0.5980,0.7028,0.4361,0.7891,0.6614,0.9574,0.6676,0.6813,0.3144,0.5549
3,0.8848,1.0062,60.42,0.7027,0.7737,0.9124,0.6445,0.5512,0.5471,0.7870,0.4177,0.8055,0.4141,0.4533,0.7395,0.8064
4,0.7827,0.8573,69.08,0.7937,0.8362,0.9509,0.7391,0.7551,0.7273,0.7537,0.2943,0.9210,0.7972,0.7005,0.6527,0.7514
5,0.7155,0.8803,67.66,0.7850,0.8489,0.9283,0.7311,0.7224,0.7159,0.7636,0.8892,0.6474,0.6197,0.5000,0.6497,0.7803
6,0.6489,0.8600,67.27,0.7886,0.8356,0.9255,0.6477,0.7578,0.7485,0.8165,0.8259,0.9149,0.3155,0.6538,0.8503,0.5173
7,0.6060,0.9573,67.66,0.8095,0.8360,0.9514,0.7540,0.7909,0.7540,0.7703,0.6076,0.9848,0.6620,0.8489,0.5569,0.3960
8,0.5760,0.6866,75.59,0.8380,0.8261,0.9700,0.8043,0.7997,0.7553,0.8728,0.6424,0.9605,0.8451,0.7033,0.6377,0.7428
9,0.5517,0.7662,72.85,0.8326,0.8416,0.9523,0.8145,0.7782,0.8406,0.7683,0.5981,0.9848,0.8817,0.5989,0.7246,0.5867
10,0.5183,0.7344,75.20,0.8478,0.8356,0.9805,0.8145,0.7914,0.7789,0.8856,0.7278,0.9271,0.9014,0.6429,0.5629,0.7514
11,0.5112,0.5056,81.75,0.9001,0.9072,0.9843,0.8601,0.8265,0.8995,0.9231,0.8924,0.9331,0.7718,0.6346,0.9132,0.7861
12,0.4860,0.7992,71.53,0.8387,0.8399,0.9729,0.8688,0.7825,0.7461,0.8221,0.6487,0.6657,0.9042,0.4560,0.8144,0.8064
13,0.4834,0.5121,82.88,0.8990,0.9084,0.9822,0.8513,0.8508,0.8928,0.9086,0.7911,0.9362,0.8873,0.6923,0.7725,0.8988
14,0.4433,0.5099,82.09,0.9008,0.9195,0.9826,0.8501,0.8456,0.8830,0.9242,0.9177,0.9757,0.7634,0.7005,0.8503,0.7428
15,0.4216,0.5087,83.17,0.9120,0.9256,0.9863,0.8715,0.8531,0.9076,0.9278,0.9620,0.9848,0.7155,0.7912,0.8862,0.6763
16,0.4085,0.6898,75.64,0.8708,0.8836,0.9823,0.7908,0.7929,0.8444,0.9306,0.9082,0.9514,0.5577,0.4918,0.8503,0.8237
17,0.4006,0.6876,77.94,0.8868,0.8730,0.9446,0.8702,0.8405,0.8969,0.8955,0.7848,0.8176,0.8958,0.4973,0.7695,0.9249
18,0.3546,0.5169,83.17,0.9149,0.9112,0.9780,0.8684,0.8804,0.9329,0.9187,0.7089,0.9179,0.7296,0.9176,0.8114,0.8960
19,0.3291,0.6226,79.99,0.9026,0.8929,0.9784,0.8670,0.8407,0.9181,0.9186,0.9430,0.8754,0.8282,0.6703,0.8413,0.6647
20,0.3308,0.6089,82.49,0.9191,0.9234,0.9869,0.8727,0.8654,0.9420,0.9243,0.9335,0.9757,0.6901,0.8544,0.8263,0.6879
21,0.2934,0.6288,78.47,0.8710,0.8357,0.9777,0.8264,0.8229,0.9031,0.8604,0.8070,0.9514,0.6282,0.6786,0.8503,0.8150
22,0.2742,0.4363,85.81,0.9266,0.9152,0.9842,0.8878,0.8896,0.9576,0.9253,0.8133,0.9392,0.8085,0.7912,0.9341,0.8699
23,0.2314,0.7458,81.60,0.9050,0.8984,0.9827,0.8528,0.8561,0.9151,0.9250,0.7089,0.9666,0.7775,0.8681,0.6557,0.9104
24,0.2240,0.5668,83.51,0.9181,0.9107,0.9871,0.8751,0.8686,0.9426,0.9244,0.7911,0.9635,0.8451,0.6868,0.9162,0.8208
25,0.2110,0.6648,82.39,0.9058,0.9025,0.9814,0.8582,0.8560,0.9221,0.9145,0.8797,0.9605,0.7380,0.8407,0.8174,0.7197
