epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.7130,1.1051,53.67,0.6139,0.5385,0.9036,0.5563,0.6293,0.3521,0.7036,0.4778,0.8693,0.0310,0.6868,0.4611,0.7081
2,0.9951,0.8867,65.85,0.7187,0.6721,0.9320,0.6468,0.6673,0.5856,0.8086,0.6456,0.8845,0.8310,0.5962,0.3473,0.6445
3,0.8517,0.8600,66.78,0.7545,0.7212,0.9379,0.7348,0.6743,0.6422,0.8165,0.5222,0.9301,0.8817,0.4478,0.4760,0.7486
4,0.7753,0.7669,70.69,0.7895,0.7672,0.9601,0.7415,0.7315,0.6958,0.8410,0.7785,0.7660,0.6873,0.5165,0.7485,0.7659
5,0.6947,0.7110,72.65,0.8282,0.8103,0.9652,0.7932,0.7260,0.7810,0.8937,0.7025,0.8845,0.6732,0.3764,0.9102,0.8439
6,0.6334,0.5881,80.04,0.8691,0.8283,0.9736,0.8399,0.8163,0.8536,0.9031,0.8228,0.9058,0.6930,0.7582,0.9042,0.7341
7,0.5735,0.5734,79.45,0.8699,0.8588,0.9712,0.8429,0.7839,0.8552,0.9077,0.7722,0.9422,0.7352,0.6731,0.8952,0.7659
8,0.5139,0.5598,78.91,0.8840,0.8564,0.9705,0.8533,0.8348,0.9064,0.8827,0.7247,0.8693,0.8563,0.6401,0.8772,0.7746
9,0.4825,0.4479,83.95,0.9151,0.9023,0.9822,0.8761,0.8743,0.9341,0.9216,0.7120,0.9514,0.7606,0.8489,0.8503,0.9104
10,0.4494,0.7892,70.99,0.8508,0.8692,0.9581,0.8242,0.8089,0.7845,0.8602,0.4399,0.7933,0.9127,0.5385,0.6707,0.8873
11,0.4070,0.4570,84.00,0.9161,0.9158,0.9815,0.8695,0.8764,0.9204,0.9330,0.7880,0.9666,0.7887,0.8516,0.7725,0.8728
12,0.3850,0.5115,81.75,0.9012,0.9210,0.9822,0.8646,0.8271,0.8897,0.9224,0.8703,0.8906,0.7493,0.6923,0.9042,0.8179
13,0.3479,0.5227,81.60,0.9084,0.9078,0.9810,0.8881,0.8394,0.9199,0.9143,0.9082,0.9271,0.7437,0.7033,0.8802,0.7572
14,0.3215,0.4422,84.69,0.9217,0.9232,0.9839,0.8710,0.8856,0.9386,0.9282,0.8386,0.9848,0.8085,0.8764,0.7695,0.8064
15,0.3014,0.4351,85.08,0.9299,0.9235,0.9829,0.8942,0.8906,0.9455,0.9428,0.8259,0.9696,0.6704,0.9148,0.8772,0.8526
16,0.2741,0.4554,82.97,0.9160,0.9105,0.9878,0.8439,0.8892,0.9291,0.9353,0.8006,0.9818,0.7690,0.7445,0.8922,0.8035
17,0.2543,0.4894,84.49,0.9270,0.9113,0.9877,0.8954,0.8889,0.9457,0.9329,0.7120,0.9605,0.9211,0.7582,0.7964,0.9162
18,0.2300,0.4777,85.23,0.9264,0.9100,0.9882,0.8893,0.8839,0.9523,0.9344,0.7722,0.9757,0.8338,0.8709,0.7695,0.8873
19,0.2016,0.4801,85.91,0.9261,0.9091,0.9838,0.8949,0.9030,0.9497,0.9164,0.7880,0.9757,0.8507,0.7967,0.8892,0.8584
20,0.1765,0.5834,82.97,0.9105,0.9043,0.9882,0.8707,0.8376,0.9345,0.9276,0.9241,0.9635,0.8338,0.6896,0.8353,0.7543
21,0.1561,0.4990,86.01,0.9279,0.9249,0.9888,0.8859,0.8887,0.9442,0.9352,0.7785,0.9726,0.8676,0.8489,0.8174,0.8728
22,0.1451,0.5430,85.52,0.9263,0.9366,0.9860,0.8755,0.8700,0.9484,0.9416,0.8513,0.9514,0.8366,0.8324,0.7964,0.8671
23,0.1268,0.5679,85.27,0.9220,0.9075,0.9822,0.8812,0.8781,0.9542,0.9286,0.7057,0.9362,0.8225,0.8324,0.8952,0.9191
24,0.1134,0.5509,85.23,0.9192,0.9085,0.9846,0.8650,0.8894,0.9432,0.9243,0.8006,0.9605,0.7634,0.8297,0.8952,0.8699
25,0.0943,0.5389,86.20,0.9269,0.9210,0.9806,0.8972,0.8691,0.9601,0.9338,0.8259,0.9605,0.7775,0.8571,0.8802,0.8757
26,0.0907,0.6380,84.64,0.9272,0.9213,0.9870,0.8993,0.8816,0.9496,0.9242,0.8481,0.9726,0.9127,0.7445,0.7605,0.8468
27,0.0711,0.5439,85.71,0.9304,0.9207,0.9887,0.8964,0.8776,0.9617,0.9374,0.8481,0.9818,0.7775,0.7857,0.9012,0.8613
28,0.0714,0.6005,86.94,0.9286,0.9210,0.9833,0.8836,0.8867,0.9612,0.9358,0.8418,0.9878,0.8113,0.8516,0.8743,0.8555
29,0.0580,0.6235,86.15,0.9298,0.9249,0.9897,0.8905,0.8819,0.9531,0.9385,0.8639,0.9787,0.8028,0.8187,0.8772,0.8382
30,0.0499,0.6180,86.69,0.9273,0.9241,0.9899,0.8833,0.8846,0.9518,0.9300,0.8291,0.9635,0.8085,0.8654,0.8653,0.8728
31,0.0421,0.8671,83.12,0.9114,0.8892,0.9817,0.8783,0.8733,0.9188,0.9272,0.8354,0.9271,0.8704,0.8462,0.6766,0.8295
32,0.0455,0.7493,85.71,0.9189,0.9085,0.9818,0.8761,0.8724,0.9514,0.9232,0.8829,0.9726,0.8338,0.8434,0.8084,0.8092
33,0.0312,0.6839,84.83,0.9212,0.9134,0.9882,0.8741,0.8796,0.9428,0.9291,0.8449,0.9696,0.7775,0.8709,0.8443,0.7890
34,0.0420,0.6822,84.10,0.9162,0.9115,0.9837,0.8793,0.8780,0.9303,0.9141,0.8449,0.9574,0.8338,0.7363,0.8832,0.8035
35,0.0259,0.6882,86.35,0.9282,0.9247,0.9857,0.8896,0.8834,0.9558,0.9303,0.8354,0.9848,0.7718,0.8709,0.8683,0.8555
36,0.0202,0.7303,86.79,0.9242,0.9231,0.9855,0.8850,0.8654,0.9554,0.9309,0.8449,0.9696,0.8028,0.8352,0.8982,0.8642
37,0.0157,0.7688,86.69,0.9266,0.9252,0.9854,0.8841,0.8850,0.9481,0.9315,0.8165,0.9757,0.8000,0.8462,0.8892,0.8786
38,0.0245,0.7564,86.59,0.9280,0.9220,0.9877,0.8938,0.8811,0.9522,0.9312,0.8734,0.9909,0.8197,0.8269,0.8892,0.8064
39,0.0200,0.8221,84.93,0.9214,0.9195,0.9866,0.8762,0.8590,0.9533,0.9337,0.8386,0.9848,0.6620,0.8626,0.9222,0.8382
40,0.0144,0.7453,86.35,0.9273,0.9186,0.9874,0.8839,0.8914,0.9527,0.9297,0.8418,0.9848,0.7718,0.8324,0.8982,0.8613
41,0.0204,0.7823,86.55,0.9251,0.9171,0.9867,0.8856,0.8838,0.9502,0.9272,0.8797,0.9818,0.8366,0.8104,0.8832,0.8121
42,0.0099,0.7891,86.79,0.9248,0.9199,0.9860,0.8766,0.8829,0.9568,0.9269,0.8228,0.9696,0.8310,0.8434,0.8832,0.8613
43,0.0135,0.7230,87.38,0.9264,0.9176,0.9862,0.8869,0.8798,0.9614,0.9263,0.8386,0.9757,0.8169,0.8407,0.9162,0.8613
44,0.0140,0.6950,86.99,0.9330,0.9282,0.9895,0.8898,0.8985,0.9599,0.9322,0.8608,0.9757,0.8732,0.7857,0.8802,0.8526
45,0.0189,0.8396,85.03,0.9163,0.8985,0.9856,0.8742,0.8648,0.9504,0.9240,0.7816,0.9726,0.8085,0.8626,0.8772,0.8006
46,0.0196,0.7226,86.89,0.9270,0.9179,0.9868,0.8844,0.8894,0.9637,0.9199,0.8481,0.9757,0.7944,0.8599,0.9102,0.8324
47,0.0122,0.7438,86.99,0.9328,0.9267,0.9869,0.8976,0.8936,0.9681,0.9239,0.8323,0.9696,0.8197,0.8269,0.9132,0.8642
48,0.0098,0.7808,85.96,0.9276,0.9212,0.9873,0.8921,0.8796,0.9596,0.9257,0.8323,0.9939,0.8113,0.8269,0.8533,0.8468
49,0.0113,0.7526,87.13,0.9303,0.9221,0.9864,0.8972,0.8861,0.9644,0.9257,0.8766,0.9818,0.8028,0.8516,0.8892,0.8353
50,0.0065,0.7729,87.13,0.9316,0.9267,0.9874,0.8932,0.8893,0.9666,0.9262,0.7880,0.9878,0.8197,0.8736,0.9012,0.8584
