epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.8347,0.6334,77.01,0.8610,0.8218,0.9846,0.8297,0.8372,0.8416,0.8514,0.5949,0.9787,0.6085,0.8434,0.7575,0.8324
2,0.5533,0.5494,80.28,0.9023,0.8918,0.9852,0.8633,0.8479,0.9105,0.9150,0.7405,0.8997,0.4901,0.9066,0.8473,0.9364
3,0.4555,0.6845,75.64,0.8834,0.9013,0.9766,0.8623,0.8428,0.9004,0.8172,0.9241,0.7052,0.8676,0.6456,0.6766,0.7312
4,0.3681,0.4618,83.27,0.9225,0.9254,0.9890,0.8894,0.8907,0.9235,0.9167,0.8861,0.9574,0.8676,0.7308,0.8443,0.7254
5,0.3007,0.4962,83.17,0.9180,0.8975,0.9902,0.8882,0.8737,0.9399,0.9182,0.8734,0.9909,0.8141,0.7582,0.9042,0.6676
6,0.2355,0.4848,83.81,0.9201,0.9160,0.9914,0.8817,0.8739,0.9364,0.9210,0.7215,0.9878,0.7352,0.8022,0.9192,0.8671
7,0.1804,0.5607,82.73,0.9091,0.8868,0.9905,0.8852,0.8499,0.9269,0.9155,0.8639,0.9878,0.8141,0.7747,0.8114,0.7254
8,0.1346,0.7469,79.75,0.8846,0.8639,0.9878,0.8621,0.8412,0.8682,0.8846,0.5759,0.9666,0.8648,0.7802,0.8533,0.7341
9,0.1214,0.5257,84.10,0.9188,0.9205,0.9873,0.8693,0.8790,0.9395,0.9174,0.8196,0.9696,0.8394,0.7390,0.8952,0.7948
10,0.0888,0.5817,84.20,0.9164,0.9102,0.9823,0.8632,0.8752,0.9451,0.9228,0.8639,0.9088,0.8141,0.7500,0.8383,0.8873
11,0.0740,0.5426,85.62,0.9268,0.9294,0.9922,0.8746,0.8859,0.9502,0.9284,0.8797,0.9818,0.7859,0.8214,0.8323,0.8468
12,0.0578,0.9001,80.23,0.9068,0.9196,0.9848,0.8802,0.8678,0.9379,0.8508,0.9557,0.8967,0.8479,0.7005,0.8593,0.5780
13,0.0461,0.6339,84.39,0.9163,0.9233,0.9945,0.8558,0.8746,0.9289,0.9208,0.8006,0.9848,0.8282,0.7170,0.8563,0.8873
14,0.0348,0.5707,86.74,0.9231,0.9283,0.9913,0.8767,0.8838,0.9331,0.9254,0.8354,0.9878,0.8225,0.8681,0.8234,0.8699
15,0.0293,0.6932,84.44,0.9195,0.9249,0.9908,0.8751,0.8817,0.9278,0.9168,0.8671,0.9696,0.7070,0.8407,0.9012,0.7948
16,0.0213,0.6134,86.01,0.9217,0.9260,0.9934,0.8596,0.8672,0.9542,0.9298,0.8639,0.9848,0.7408,0.8324,0.9072,0.8439
17,0.0238,0.6495,85.76,0.9202,0.9152,0.9884,0.8641,0.8731,0.9518,0.9284,0.8797,0.9818,0.8169,0.8379,0.8832,0.7572
18,0.0166,0.7256,83.61,0.9131,0.9078,0.9912,0.8577,0.8755,0.9324,0.9140,0.8576,0.9666,0.7380,0.7445,0.9401,0.7890
19,0.0171,0.6743,84.88,0.9216,0.9289,0.9912,0.8651,0.8694,0.9470,0.9279,0.9019,0.9726,0.6986,0.8379,0.8922,0.8064
20,0.0101,0.6135,86.25,0.9286,0.9228,0.9896,0.8842,0.8829,0.9604,0.9316,0.8165,0.9757,0.7915,0.8297,0.8892,0.8786
21,0.0103,0.6433,86.15,0.9278,0.9263,0.9935,0.8723,0.8965,0.9558,0.9227,0.9051,0.9757,0.8423,0.7995,0.8713,0.7890
22,0.0086,0.6390,87.13,0.9258,0.9267,0.9912,0.8801,0.8747,0.9552,0.9267,0.8386,0.9757,0.8366,0.7967,0.8952,0.8931
23,0.0054,0.6486,87.08,0.9232,0.9285,0.9921,0.8650,0.8715,0.9530,0.9290,0.8418,0.9878,0.8085,0.7940,0.9102,0.8931
24,0.0049,0.5958,87.33,0.9301,0.9314,0.9918,0.8845,0.8842,0.9589,0.9299,0.8354,0.9878,0.8000,0.8324,0.9192,0.8728
25,0.0041,0.6120,86.89,0.9284,0.9273,0.9927,0.8810,0.8857,0.9497,0.9337,0.8165,0.9818,0.8197,0.8544,0.8862,0.8584
26,0.0054,0.6710,87.13,0.9279,0.9292,0.9907,0.8786,0.8853,0.9543,0.9291,0.8418,0.9787,0.8338,0.8242,0.8713,0.8844
27,0.0047,0.6329,87.33,0.9317,0.9297,0.9921,0.8868,0.8927,0.9611,0.9275,0.8449,0.9818,0.8197,0.8269,0.8772,0.8960
28,0.0034,0.6694,86.69,0.9260,0.9268,0.9913,0.8751,0.8891,0.9482,0.9254,0.8386,0.9757,0.8225,0.8242,0.8713,0.8757
29,0.0026,0.6266,87.33,0.9318,0.9322,0.9915,0.8838,0.8944,0.9601,0.9291,0.8544,0.9818,0.8338,0.8324,0.8713,0.8728
30,0.0021,0.6474,86.69,0.9287,0.9323,0.9911,0.8790,0.8903,0.9535,0.9263,0.8481,0.9818,0.8394,0.8242,0.8802,0.8353
31,0.0025,0.6639,86.40,0.9283,0.9273,0.9906,0.8821,0.8879,0.9531,0.9290,0.8481,0.9848,0.8563,0.8022,0.8234,0.8757
32,0.0024,0.6145,87.52,0.9327,0.9332,0.9925,0.8872,0.8940,0.9588,0.9302,0.8418,0.9848,0.8113,0.8489,0.8772,0.8931
33,0.0025,0.6330,87.18,0.9314,0.9324,0.9904,0.8859,0.8944,0.9571,0.9281,0.8544,0.9726,0.8056,0.8407,0.8922,0.8728
34,0.0019,0.6397,86.74,0.9305,0.9327,0.9918,0.8843,0.8904,0.9550,0.9290,0.8608,0.9726,0.8310,0.8489,0.8623,0.8353
