epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2002,0.8637,64.97,0.7433,0.7342,0.9465,0.6904,0.7134,0.5691,0.8062,0.5538,0.8480,0.3606,0.7720,0.5419,0.8208
2,0.8402,0.8063,69.42,0.7846,0.7896,0.9570,0.6392,0.7719,0.7258,0.8242,0.6962,0.8116,0.4535,0.8352,0.5419,0.8266
3,0.6759,1.5199,56.16,0.7182,0.6731,0.9665,0.6474,0.6490,0.6826,0.6907,0.9209,0.7903,0.4028,0.1621,0.6347,0.5289
4,0.5746,0.6581,76.37,0.8801,0.8727,0.9665,0.8697,0.8410,0.8966,0.8341,0.7753,0.6109,0.8394,0.5824,0.8892,0.8902
5,0.5170,0.6841,77.20,0.8644,0.8846,0.9507,0.8288,0.8173,0.8648,0.8399,0.7816,0.9757,0.6761,0.8187,0.6826,0.7052
6,0.4706,0.5803,80.19,0.8908,0.9198,0.9662,0.8723,0.8234,0.8809,0.8824,0.8291,0.7356,0.8761,0.6181,0.8413,0.9191
7,0.4355,0.4526,83.81,0.9195,0.9165,0.9855,0.8763,0.8802,0.9256,0.9331,0.7595,0.9483,0.8676,0.7280,0.8832,0.8468
8,0.3982,0.4446,84.20,0.9232,0.9294,0.9878,0.8841,0.8829,0.9259,0.9293,0.7468,0.9848,0.8676,0.7500,0.8383,0.8671
9,0.3762,0.4570,84.39,0.9225,0.9272,0.9904,0.8938,0.8732,0.9216,0.9289,0.7785,0.9514,0.8507,0.7088,0.9132,0.8699
10,0.3433,0.4808,82.68,0.9243,0.9225,0.9862,0.8786,0.8945,0.9510,0.9132,0.9082,0.9149,0.7493,0.8819,0.7874,0.7283
11,0.3197,0.4265,85.03,0.9355,0.9337,0.9846,0.9052,0.8895,0.9551,0.9447,0.8228,0.9514,0.9042,0.7445,0.8293,0.8555
12,0.2834,0.4833,83.81,0.9263,0.9093,0.9807,0.8886,0.9048,0.9583,0.9164,0.9082,0.9240,0.8507,0.7225,0.9222,0.7197
13,0.2344,0.5477,83.51,0.9102,0.9045,0.9829,0.8667,0.8513,0.9343,0.9215,0.8481,0.9605,0.8507,0.7473,0.8683,0.7486
14,0.2195,0.4912,84.20,0.9181,0.9278,0.9913,0.8467,0.8520,0.9538,0.9371,0.8639,0.9787,0.6225,0.9203,0.8413,0.8353
15,0.1879,0.4958,85.03,0.9319,0.9295,0.9894,0.8894,0.8856,0.9507,0.9467,0.8892,0.9909,0.8394,0.8819,0.8054,0.7023
16,0.1448,0.4751,86.15,0.9332,0.9284,0.9881,0.8874,0.8915,0.9632,0.9406,0.8703,0.9696,0.8479,0.7610,0.9132,0.8208
17,0.1297,0.5286,85.76,0.9266,0.9212,0.9881,0.8723,0.8877,0.9590,0.9311,0.8766,0.9149,0.8282,0.8434,0.8802,0.8092
18,0.1128,0.5629,85.96,0.9220,0.9201,0.9833,0.8855,0.8666,0.9445,0.9322,0.8639,0.9331,0.8394,0.8104,0.8503,0.8671
19,0.0981,0.6444,85.27,0.9186,0.9122,0.9887,0.8753,0.8718,0.9388,0.9248,0.6994,0.9666,0.8310,0.8407,0.8772,0.8960
20,0.0898,0.6407,85.71,0.9272,0.9299,0.9865,0.8902,0.8602,0.9528,0.9435,0.8354,0.9544,0.8845,0.7830,0.8084,0.8815
21,0.0784,0.5638,88.06,0.9409,0.9379,0.9936,0.8915,0.9117,0.9622,0.9484,0.8734,0.9848,0.8563,0.8324,0.8473,0.8960
22,0.0593,0.5834,85.57,0.9285,0.9299,0.9882,0.8750,0.8907,0.9561,0.9309,0.8861,0.9818,0.7606,0.8819,0.8563,0.7775
23,0.0654,0.6221,86.25,0.9301,0.9169,0.9916,0.8854,0.8998,0.9522,0.9344,0.8070,0.9696,0.8141,0.8242,0.9042,0.8613
24,0.0684,0.5709,87.52,0.9327,0.9250,0.9914,0.8901,0.8930,0.9516,0.9453,0.8544,0.9726,0.8085,0.8709,0.8892,0.8613
25,0.0487,0.7151,85.91,0.9241,0.9120,0.9890,0.8728,0.8840,0.9507,0.9361,0.8956,0.9635,0.7465,0.8489,0.9281,0.7861
26,0.0523,0.7567,85.18,0.9194,0.9040,0.9913,0.8680,0.8803,0.9415,0.9314,0.8734,0.9544,0.7831,0.8736,0.8653,0.7688
27,0.0539,0.8894,82.29,0.9017,0.9125,0.9792,0.8574,0.7988,0.9288,0.9335,0.8734,0.8997,0.8141,0.5989,0.9012,0.8728
28,0.0342,0.7367,86.30,0.9220,0.9302,0.9851,0.8625,0.8735,0.9394,0.9415,0.8354,0.9787,0.7803,0.7967,0.9281,0.8699
29,0.0483,0.7100,85.13,0.9340,0.9369,0.9883,0.8943,0.8914,0.9555,0.9375,0.9304,0.9635,0.7155,0.8269,0.9341,0.7572
30,0.0490,0.7371,86.20,0.9300,0.9238,0.9900,0.8838,0.8908,0.9546,0.9367,0.7437,0.9787,0.7944,0.8434,0.8832,0.9277
31,0.0482,0.7620,86.01,0.9299,0.9399,0.9916,0.8868,0.8668,0.9519,0.9421,0.9114,0.9818,0.7718,0.8242,0.8892,0.7977
32,0.0257,0.9017,84.78,0.9188,0.9144,0.9939,0.8659,0.8681,0.9372,0.9334,0.7373,0.9271,0.8592,0.8077,0.8353,0.9162
33,0.0343,0.7843,84.15,0.9190,0.9154,0.9897,0.8434,0.8784,0.9531,0.9339,0.8133,0.9818,0.7324,0.7720,0.9521,0.8121
34,0.0494,0.9121,82.93,0.9116,0.9184,0.9853,0.8722,0.8336,0.9314,0.9287,0.9114,0.9818,0.6930,0.7225,0.8892,0.8035
35,0.0344,0.6436,86.59,0.9342,0.9287,0.9895,0.8802,0.8966,0.9644,0.9456,0.8323,0.9818,0.7859,0.8214,0.9222,0.8613
36,0.0259,0.7639,87.04,0.9304,0.9362,0.9922,0.8788,0.8871,0.9448,0.9434,0.8449,0.9878,0.8507,0.8132,0.8802,0.8526
37,0.0439,0.6795,86.79,0.9316,0.9297,0.9877,0.8738,0.8869,0.9626,0.9489,0.8544,0.9757,0.8085,0.8242,0.8683,0.8844
38,0.0334,1.1550,79.31,0.8944,0.8585,0.9539,0.8788,0.8605,0.9279,0.8865,0.9335,0.7416,0.8704,0.7280,0.8114,0.6850
39,0.0261,0.7814,86.45,0.9255,0.9175,0.9898,0.8770,0.8904,0.9481,0.9303,0.7785,0.9574,0.8225,0.8077,0.8982,0.9249
40,0.0267,1.7126,74.76,0.8804,0.8695,0.9799,0.8648,0.8173,0.8808,0.8702,0.9589,0.9149,0.7155,0.6291,0.6317,0.6647
41,0.0321,0.8725,85.23,0.9194,0.9131,0.9802,0.8703,0.8889,0.9478,0.9160,0.8829,0.9149,0.7944,0.7912,0.8892,0.8526
42,0.0263,0.9603,83.51,0.9107,0.9017,0.9854,0.8687,0.8837,0.8969,0.9276,0.6646,0.9422,0.8479,0.7940,0.8533,0.9017
43,0.0247,0.8459,85.57,0.9244,0.9172,0.9845,0.8603,0.8910,0.9559,0.9377,0.7848,0.9635,0.8394,0.8462,0.8293,0.8699
44,0.0275,0.9638,83.81,0.9178,0.9324,0.9868,0.8595,0.8490,0.9332,0.9458,0.9114,0.9605,0.8056,0.7033,0.8443,0.8237
45,0.0452,0.8891,84.44,0.9266,0.9175,0.9876,0.8847,0.8832,0.9498,0.9368,0.7468,0.9544,0.9014,0.6951,0.8653,0.9075
46,0.0136,0.8755,85.67,0.9253,0.9298,0.9837,0.8608,0.8783,0.9570,0.9421,0.8259,0.8723,0.8282,0.8022,0.9192,0.8960
47,0.0233,0.8332,86.59,0.9259,0.9388,0.9882,0.8556,0.8697,0.9549,0.9482,0.8259,0.9757,0.7859,0.8599,0.8802,0.8728
48,0.0260,1.0021,84.88,0.9199,0.9196,0.9892,0.8497,0.8770,0.9454,0.9383,0.9146,0.9757,0.7099,0.8352,0.8952,0.7803
49,0.0318,0.9841,85.42,0.9254,0.9115,0.9894,0.8600,0.9018,0.9557,0.9339,0.9367,0.9878,0.8000,0.8269,0.8623,0.7283
50,0.0223,0.8661,86.20,0.9230,0.9259,0.9899,0.8592,0.8675,0.9491,0.9464,0.8703,0.9909,0.8225,0.7857,0.8743,0.8410
