epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.4882,0.3414,88.01,0.9494,0.9512,0.9912,0.9059,0.9220,0.9732,0.9527,0.9082,0.9787,0.8732,0.7885,0.8772,0.8671
2,0.3440,0.4315,86.06,0.9473,0.9605,0.9943,0.9051,0.9083,0.9732,0.9423,0.7690,0.9970,0.8451,0.6538,0.9820,0.9306
3,0.2823,0.4858,84.05,0.9179,0.9024,0.9938,0.8654,0.8374,0.9404,0.9682,0.8987,0.9787,0.6676,0.8297,0.7635,0.9191
4,0.2460,0.2594,91.00,0.9637,0.9776,0.9961,0.9258,0.9286,0.9821,0.9724,0.9209,0.9878,0.7662,0.9286,0.9371,0.9277
5,0.2011,0.2724,90.70,0.9624,0.9686,0.9949,0.9231,0.9381,0.9834,0.9660,0.9051,0.9848,0.8254,0.8929,0.9431,0.8988
6,0.1842,0.3033,89.97,0.9613,0.9714,0.9946,0.9191,0.9320,0.9798,0.9709,0.9620,0.9726,0.8451,0.8626,0.9371,0.8324
7,0.1462,0.3512,89.19,0.9595,0.9592,0.9951,0.9223,0.9342,0.9814,0.9650,0.8987,0.9574,0.8986,0.7665,0.9012,0.9393
8,0.1237,0.3648,89.53,0.9531,0.9566,0.9945,0.9164,0.9207,0.9709,0.9595,0.8861,0.9878,0.8732,0.8571,0.8503,0.9220
9,0.1144,0.7335,82.29,0.9281,0.9639,0.9952,0.8332,0.8526,0.9637,0.9601,0.9620,0.9909,0.4732,0.9808,0.8383,0.7139
10,0.1008,0.5293,86.30,0.9294,0.9523,0.9931,0.8819,0.8275,0.9666,0.9549,0.7911,0.9848,0.6789,0.8819,0.9072,0.9393
11,0.0905,0.6354,87.38,0.9478,0.9533,0.9951,0.9194,0.8902,0.9710,0.9577,0.8418,0.9818,0.9296,0.7115,0.8323,0.9538
12,0.0742,0.5932,86.59,0.9412,0.9413,0.9892,0.9099,0.8949,0.9636,0.9485,0.7468,0.9392,0.8873,0.7363,0.9281,0.9595
13,0.0591,0.4568,90.46,0.9534,0.9594,0.9940,0.9176,0.9050,0.9746,0.9700,0.8861,0.9696,0.8310,0.8736,0.9222,0.9509
14,0.0725,0.5093,87.72,0.9528,0.9639,0.9956,0.9127,0.9225,0.9706,0.9516,0.9557,0.9605,0.7915,0.9121,0.8683,0.7861
15,0.0421,0.5030,88.50,0.9494,0.9551,0.9924,0.9160,0.9072,0.9740,0.9520,0.9146,0.9666,0.8817,0.7967,0.9012,0.8613
16,0.0440,0.6741,88.01,0.9361,0.9359,0.9938,0.8832,0.8939,0.9664,0.9434,0.8291,0.9939,0.8085,0.9121,0.8443,0.8931
17,0.0556,0.4946,88.26,0.9483,0.9654,0.9946,0.9019,0.9012,0.9582,0.9685,0.9177,0.9909,0.8366,0.8022,0.9102,0.8526
18,0.0435,0.5554,88.50,0.9511,0.9569,0.9941,0.9027,0.9206,0.9753,0.9573,0.9335,0.9757,0.8930,0.7610,0.9102,0.8526
19,0.0481,0.5071,88.16,0.9460,0.9603,0.9886,0.9042,0.9002,0.9720,0.9507,0.8639,0.9939,0.7296,0.8571,0.9401,0.9162
20,0.0421,0.4927,89.68,0.9475,0.9644,0.9936,0.8898,0.9012,0.9790,0.9568,0.8829,0.9635,0.8338,0.8462,0.9281,0.9335
21,0.0378,0.5036,90.07,0.9535,0.9609,0.9945,0.9116,0.9140,0.9764,0.9639,0.8861,0.9909,0.8423,0.8516,0.8982,0.9422
22,0.0310,0.5451,88.60,0.9550,0.9645,0.9935,0.9124,0.9164,0.9804,0.9628,0.9525,0.9757,0.8986,0.8022,0.9042,0.7977
23,0.0376,0.5395,88.99,0.9523,0.9627,0.9941,0.9067,0.9172,0.9733,0.9601,0.9335,0.9422,0.8704,0.8132,0.9162,0.8757
24,0.0431,0.5649,89.09,0.9454,0.9600,0.9951,0.8970,0.9018,0.9745,0.9442,0.8861,0.9878,0.8535,0.7940,0.9491,0.8873
25,0.0324,0.5059,90.61,0.9521,0.9688,0.9919,0.9020,0.9003,0.9826,0.9668,0.9146,0.9848,0.7718,0.9121,0.9311,0.9306
